"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1"
NA,NA,NA,NA,"gde1","ypl110c","ORF","341068-344739","-","XVI","ypl110c",-5.53091767932528
NA,NA,NA,NA,"tim50","ypl063w","ORF","429939-431369","+","XVI","ypl063w",-5.53987897337674
NA,NA,NA,NA,"stu2","ylr045c","ORF","235037-237703","-","XII","ylr045c",-5.58418430140381
NA,NA,NA,NA,"sae2","ygl175c","ORF","173285-174322","-","VII","ygl175c",-5.62174609830392
NA,NA,NA,NA,"cne1","yal058w","ORF","37464-38972","+","I","yal058w",-5.67544449213238
NA,NA,NA,NA,"mtc2","ykl098w","ORF","256770-257843","+","XI","ykl098w",-5.73370630352472
NA,NA,NA,NA,"akr2","yor034c","ORF","394837-397086","-","XV","yor034c",-5.75888148718272
NA,NA,NA,NA,"ypl073c","ypl073c","ORF","418499-418984","-","XVI","ypl073c",-5.8139987361783
NA,NA,NA,NA,"cin8","yel061c","ORF","36535-39537","-","V","yel061c",-5.82571916664306
"hir3",0,0.5,0.5,"hir3","yjr140c","ORF","690750-695696","-","X","yjr140c",-5.83457154902678
NA,NA,NA,NA,"rev7","yil139c","ORF","87979-88716","-","IX","yil139c",-5.84723026609305
NA,NA,NA,NA,"sog2","yor353c","ORF","998453-1000828","-","XV","yor353c",-5.88007023312755
NA,NA,NA,NA,"sdo1","ylr022c","ORF","184174-184926","-","XII","ylr022c",-5.89349615070658
"inp53",0,0,1,"inp53","yor109w","ORF","525278-528601","+","XV","yor109w",-5.92657654646401
NA,NA,NA,NA,"ygr012w","ygr012w","ORF","513159-514340","+","VII","ygr012w",-5.9341803899517
NA,NA,NA,NA,"ptc4","ybr125c","ORF","487199-488380","-","II","ybr125c",-5.95370723266604
NA,NA,NA,NA,"mpe1","ykl059c","ORF","328118-329443","-","XI","ykl059c",-5.95441384707746
NA,NA,NA,NA,"pti1","ygr156w","ORF","800546-801823","+","VII","ygr156w",-5.98526150701042
NA,NA,NA,NA,"top2","ynl088w","ORF","457704-461990","+","XIV","ynl088w",-6.02124938225472
NA,NA,NA,NA,"gpi8","ydr331w","ORF","1129588-1130823","+","IV","ydr331w",-6.03425145184637
NA,NA,NA,NA,"ylr317w","ylr317w","ORF","765655-766089","+","XII","ylr317w",-6.08461798088286
NA,NA,NA,NA,"kog1","yhr186c","ORF","475999-480672","-","VIII","yhr186c",-6.10851330974122
NA,NA,NA,NA,"yer188w","yer188w","ORF","568040-568759","+","V","yer188w",-6.11604058231982
NA,NA,NA,NA,"yer189w","yer189w","ORF","571155-571523","+","V","yer189w",-6.15004596025773
NA,NA,NA,NA,"hxt10","yfl011w","ORF","112345-113985","+","VI","yfl011w",-6.18141203527546
NA,NA,NA,NA,"scc4","yer147c","ORF","462968-464842","-","V","yer147c",-6.18919269212752
NA,NA,NA,NA,"yor282w","yor282w","ORF","847000-847320","+","XV","yor282w",-6.21634391412086
"dap2",0,0,1,"dap2","yhr028c","ORF","164978-167434","-","VIII","yhr028c",-6.24899175289456
NA,NA,NA,NA,"kar9","ypl269w","ORF","33013-34947","+","XVI","ypl269w",-6.2713388876998
"mns1",0,1,0,"mns1","yjr131w","ORF","667644-669293","+","X","yjr131w",-6.30732661993583
NA,NA,NA,NA,"exo5","ybr163w","ORF","565723-567480","+","II","ybr163w",-6.33890304292124
NA,NA,NA,NA,"sor2","ydl246c","ORF","8683-9756","-","IV","ydl246c",-6.3713069585817
NA,NA,NA,NA,"rad30","ydr419w","ORF","1303174-1305072","+","IV","ydr419w",-6.37702023006891
NA,NA,NA,NA,"met12","ypl023c","ORF","504339-506312","-","XVI","ypl023c",-6.40575376105376
NA,NA,NA,NA,"thi7","ylr237w","ORF","612367-614163","+","XII","ylr237w",-6.41877213643457
NA,NA,NA,NA,"rgr1","ylr071c","ORF","275378-278626","-","XII","ylr071c",-6.55306577770119
NA,NA,NA,NA,"mal13","ygr288w","ORF","1070293-1071714","+","VII","ygr288w",-6.60725802501985
NA,NA,NA,NA,"dus3","ylr401c","ORF","922442-924448","-","XII","ylr401c",-6.63047366831562
NA,NA,NA,NA,"gup2","ypl189w","ORF","189154-190983","+","XVI","ypl189w",-6.64376474519969
NA,NA,NA,NA,"ydr034c-a","ydr034c-a","ORF","520516-520692","-","IV","ydr034c-a",-6.65929502603992
NA,NA,NA,NA,"rif2","ylr453c","ORF","1041799-1042986","-","XII","ylr453c",-6.66041777481846
NA,NA,NA,NA,"cbt1","ykl208w","ORF","47157-47972","+","XI","ykl208w",-6.70146785390432
"nup170",0,0,1,"nup170","ybl079w","ORF","75259-79767","+","II","ybl079w",-6.71503654413135
"aim24",0,0,1,"aim24","yjr080c","ORF","580432-581616","-","X","yjr080c",-6.75735244063125
NA,NA,NA,NA,"tms1","ydr105c","ORF","665349-666770","-","IV","ydr105c",-6.77473725401686
NA,NA,NA,NA,"adh7","ycr105w","ORF","309070-310155","+","III","ycr105w",-6.78718852513403
NA,NA,NA,NA,"aim33","yml087c","ORF","94431-95369","-","XIII","yml087c",-6.79693556224347
NA,NA,NA,NA,"mf(alpha)2","ygl089c","ORF","344791-345153","-","VII","ygl089c",-6.83742347561487
NA,NA,NA,NA,"yor072w","yor072w","ORF","461502-461816","+","XV","yor072w",-6.85217880605618
NA,NA,NA,NA,"aim22","yjl046w","ORF","352386-353615","+","X","yjl046w",-6.85941382728553
NA,NA,NA,NA,"bud3","ycl014w","ORF","96281-101191","+","III","ycl014w",-6.87455064663652
NA,NA,NA,NA,"pdr3","ybl005w","ORF","217470-220400","+","II","ybl005w",-6.89334379430803
NA,NA,NA,NA,"faa3","yil009w","ORF","339344-341428","+","IX","yil009w",-6.91313651988617
"mne1",0,0,1,"mne1","yor350c","ORF","992864-994855","-","XV","yor350c",-6.94429384849394
NA,NA,NA,NA,"lrs4","ydr439w","ORF","1339676-1340719","+","IV","ydr439w",-6.95004558063576
NA,NA,NA,NA,"rsc2","ylr357w","ORF","841331-844000","+","XII","ylr357w",-6.99422722065517
NA,NA,NA,NA,"spo13","yhr014w","ORF","132047-132922","+","VIII","yhr014w",-7.01697291324812
"htd2",0,0,1,"htd2","yhr067w","ORF","230970-231812","+","VIII","yhr067w",-7.07627149761185
NA,NA,NA,NA,"mae1","ykl029c","ORF","382716-384725","-","XI","ykl029c",-7.08188378788526
NA,NA,NA,NA,"ygr111w","ygr111w","ORF","715828-717030","+","VII","ygr111w",-7.14771857857209
NA,NA,NA,NA,"spt20","yol148c","ORF","45760-47574","-","XV","yol148c",-7.15505518318106
NA,NA,NA,NA,"ecm5","ymr176w","ORF","611740-615975","+","XIII","ymr176w",-7.18136447972602
NA,NA,NA,NA,"ylr374c","ylr374c","ORF","871453-871842","-","XII","ylr374c",-7.21674722972907
NA,NA,NA,NA,"alg8","yor067c","ORF","451729-453462","-","XV","yor067c",-7.23570765653871
NA,NA,NA,NA,"rho4","ykr055w","ORF","548216-549091","+","XI","ykr055w",-7.25750393725008
NA,NA,NA,NA,"mic60","ykr016w","ORF","469717-471339","+","XI","ykr016w",-7.2762074133455
NA,NA,NA,NA,"ylr236c","ylr236c","ORF","611794-612117","-","XII","ylr236c",-7.27960809224579
NA,NA,NA,NA,"sor1","yjr159w","ORF","736044-737117","+","X","yjr159w",-7.36619682067518
NA,NA,NA,NA,"yer068c-a","yer068c-a","ORF","295301-295732","-","V","yer068c-a",-7.39627245990537
"mks1",0,0.5,0.5,"mks1","ynl076w","ORF","483556-485310","+","XIV","ynl076w",-7.42045185745996
"far10",0,1,0,"far10","ylr238w","ORF","614755-616191","+","XII","ylr238w",-7.44474664296533
NA,NA,NA,NA,"kip1","ybl063w","ORF","101886-105221","+","II","ybl063w",-7.47676573290325
NA,NA,NA,NA,"arh1","ydr376w","ORF","1226822-1228303","+","IV","ydr376w",-7.47773041637435
NA,NA,NA,NA,"ayt1","yll063c","ORF","14648-16072","-","XII","yll063c",-7.52767897972304
NA,NA,NA,NA,"yhl042w","yhl042w","ORF","15667-16119","+","VIII","yhl042w",-7.52793458649014
"vba5",0,1,0,"vba5","ykr105c","ORF","658716-660464","-","XI","ykr105c",-7.73657339964935
NA,NA,NA,NA,"sey1","yor165w","ORF","644566-646896","+","XV","yor165w",-7.77062645808825
NA,NA,NA,NA,"ylr296w","ylr296w","ORF","722978-723304","+","XII","ylr296w",-7.80949738446914
NA,NA,NA,NA,"ypr097w","ypr097w","ORF","725394-728615","+","XVI","ypr097w",-7.85602150853735
NA,NA,NA,NA,"ulp1","ypl020c","ORF","512313-514178","-","XVI","ypl020c",-7.86961404308087
NA,NA,NA,NA,"spc3","ylr066w","ORF","267169-267723","+","XII","ylr066w",-7.89267573051086
NA,NA,NA,NA,"rad3","yer171w","ORF","527082-529418","+","V","yer171w",-7.92954319435234
NA,NA,NA,NA,"vps3","ydr495c","ORF","1438115-1441150","-","IV","ydr495c",-7.937239568697
NA,NA,NA,NA,"ygl217c","ygl217c","ORF","84839-85180","-","VII","ygl217c",-7.9545325857496
NA,NA,NA,NA,"ste24","yjr117w","ORF","642007-643368","+","X","yjr117w",-7.99743550460743
NA,NA,NA,NA,"dtd1","ydl219w","ORF","65242-65765","+","IV","ydl219w",-8.10006499970869
NA,NA,NA,NA,"ert1","ybr239c","ORF","698354-699943","-","II","ybr239c",-8.1039740007742
NA,NA,NA,NA,"fun26","yal022c","ORF","108877-110430","-","I","yal022c",-8.14667223606638
NA,NA,NA,NA,"ccm1","ygr150c","ORF","790459-793053","-","VII","ygr150c",-8.16279595578614
"pch2",0,1,0,"pch2","ybr186w","ORF","600553-602360","+","II","ybr186w",-8.16389400200719
NA,NA,NA,NA,"cin1","yor349w","ORF","989789-992833","+","XV","yor349w",-8.18424207121371
NA,NA,NA,NA,"ydr371c-a","ydr371c-a","ORF","1219509-1219613","-","IV","ydr371c-a",-8.19009438741488
NA,NA,NA,NA,"ate1","ygl017w","ORF","459854-461365","+","VII","ygl017w",-8.19089878645586
"sov1",0,1,0,"sov1","ymr066w","ORF","401541-404237","+","XIII","ymr066w",-8.2239835739484
NA,NA,NA,NA,"yjl150w","yjl150w","ORF","137123-137425","+","X","yjl150w",-8.22863949483326
NA,NA,NA,NA,"mrx11","ypl041c","ORF","475118-475741","-","XVI","ypl041c",-8.24674974680627
NA,NA,NA,NA,"fre3","yor381w","ORF","1055545-1057680","+","XV","yor381w",-8.25080867343307
NA,NA,NA,NA,"tho2","ynl139c","ORF","360924-365717","-","XIV","ynl139c",-8.29459571433015
NA,NA,NA,NA,"rds2","ypl133c","ORF","299888-301228","-","XVI","ypl133c",-8.29946035079175
"ecm34",0,0,1,"ecm34","yhl043w","ORF","14901-15413","+","VIII","yhl043w",-8.32752328509604
NA,NA,NA,NA,"pau9","ybl108c-a","ORF","7605-7733","-","II","ybl108c-a",-8.32900979275036
NA,NA,NA,NA,"pes4","yfr023w","ORF","199874-201709","+","VI","yfr023w",-8.35046432552042
NA,NA,NA,NA,"ydr034c-c","ydr034c-c","transposable_element_gene","518040-519356","-","IV","ydr034c-c",-8.36489170042404
NA,NA,NA,NA,"ycr100c","ycr100c","ORF","301271-302221","-","III","ycr100c",-8.36941644931751
NA,NA,NA,NA,"ynl034w","ynl034w","ORF","570477-572315","+","XIV","ynl034w",-8.3968999955919
NA,NA,NA,NA,"rad7","yjr052w","ORF","532062-533759","+","X","yjr052w",-8.43036785947743
NA,NA,NA,NA,"thi13","ydl244w","ORF","16204-17226","+","IV","ydl244w",-8.43481317025212
NA,NA,NA,NA,"utr1","yjr049c","ORF","526884-528476","-","X","yjr049c",-8.505860279732
NA,NA,NA,NA,"sad1","yfr005c","ORF","154527-155873","-","VI","yfr005c",-8.58431353731003
NA,NA,NA,NA,"ptc6","ycr079w","ORF","252845-254173","+","III","ycr079w",-8.5944709199503
NA,NA,NA,NA,"ykl145w-a","ykl145w-a","ORF","174958-175050","+","XI","ykl145w-a",-8.60072104135082
NA,NA,NA,NA,"osw2","ylr054c","ORF","248717-250978","-","XII","ylr054c",-8.62018846478724
NA,NA,NA,NA,"prp18","ygr006w","ORF","506070-506825","+","VII","ygr006w",-8.6804996873897
NA,NA,NA,NA,"atg23","ylr431c","ORF","1000342-1001703","-","XII","ylr431c",-8.75749908673661
NA,NA,NA,NA,"smp1","ybr182c","ORF","593506-594864","-","II","ybr182c",-8.80497425533588
NA,NA,NA,NA,"bnr1","yil159w","ORF","41825-45952","+","IX","yil159w",-8.80592599298389
NA,NA,NA,NA,"ast2","yer101c","ORF","360502-361794","-","V","yer101c",-8.8099092246093
NA,NA,NA,NA,"mnl1","yhr204w","ORF","506319-508709","+","VIII","yhr204w",-8.84271847028889
NA,NA,NA,NA,"mcm3","yel032w","ORF","86937-89852","+","V","yel032w",-8.8693011333585
NA,NA,NA,NA,"bik1","ycl029c","ORF","68599-69921","-","III","ycl029c",-8.87529299939395
NA,NA,NA,NA,"tor2","ykl203c","ORF","55935-63359","-","XI","ykl203c",-8.87627097023127
NA,NA,NA,NA,"nft1","ykr103w","ORF","653080-656736","+","XI","ykr103w",-8.90658521866417
NA,NA,NA,NA,"prp31","ygr091w","ORF","666341-667825","+","VII","ygr091w",-8.92784253969868
"tis11",0,1,0,"tis11","ylr136c","ORF","415801-416658","-","XII","ylr136c",-8.93238847559718
NA,NA,NA,NA,"yel014c","yel014c","ORF","128303-128608","-","V","yel014c",-8.96697543606825
NA,NA,NA,NA,"ygl118c","ygl118c","ORF","288014-288451","-","VII","ygl118c",-8.99952451441398
NA,NA,NA,NA,"jem1","yjl073w","ORF","303181-305118","+","X","yjl073w",-9.06516413607319
NA,NA,NA,NA,"yra2","ykl214c","ORF","31082-31693","-","XI","ykl214c",-9.07533310467756
NA,NA,NA,NA,"erp1","yar002c-a","ORF","154065-154724","-","I","yar002c-a",-9.14792599075562
NA,NA,NA,NA,"nkp2","ylr315w","ORF","764808-765269","+","XII","ylr315w",-9.19938615975436
NA,NA,NA,NA,"pkc1","ybl105c","ORF","14241-17696","-","II","ybl105c",-9.20287647858962
NA,NA,NA,NA,"vps61","ydr136c","ORF","727711-728283","-","IV","ydr136c",-9.24673057492691
NA,NA,NA,NA,"taf1","ygr274c","ORF","1039895-1043095","-","VII","ygr274c",-9.2613902749801
NA,NA,NA,NA,"rsn1","ymr266w","ORF","798518-801379","+","XIII","ymr266w",-9.29130650798494
"vab2",0,0,1,"vab2","yel005c","ORF","145907-146755","-","V","yel005c",-9.35008334371512
NA,NA,NA,NA,"yjl086c","yjl086c","ORF","272478-272846","-","X","yjl086c",-9.36993144346291
NA,NA,NA,NA,"bni4","ynl233w","ORF","211922-214600","+","XIV","ynl233w",-9.38065983565608
NA,NA,NA,NA,"orc6","yhr118c","ORF","344321-345628","-","VIII","yhr118c",-9.38706198385011
NA,NA,NA,NA,"ctf13","ymr094w","ORF","455825-457261","+","XIII","ymr094w",-9.41652713864807
NA,NA,NA,NA,"aim6","ydl237w","ORF","30657-31829","+","IV","ydl237w",-9.41807648072074
NA,NA,NA,NA,"spo23","ybr250w","ORF","719033-720604","+","II","ybr250w",-9.44604854936193
"scp160",0,0.333333333333333,0.666666666666667,"scp160","yjl080c","ORF","285558-289226","-","X","yjl080c",-9.45142355709939
NA,NA,NA,NA,"yor192c-a","yor192c-a","transposable_element_gene","708416-709732","-","XV","yor192c-a",-9.48287261141878
NA,NA,NA,NA,"sgm1","yjr134c","ORF","673729-675852","-","X","yjr134c",-9.50475463717552
NA,NA,NA,NA,"tda7","ynl176c","ORF","305070-306980","-","XIV","ynl176c",-9.53974233597659
NA,NA,NA,NA,"sln1","yil147c","ORF","69791-73453","-","IX","yil147c",-9.57876817723116
NA,NA,NA,NA,"vps64","ydr200c","ORF","854279-856093","-","IV","ydr200c",-9.58245681698182
NA,NA,NA,NA,"ktr5","ynl029c","ORF","577205-578773","-","XIV","ynl029c",-9.58596106250219
NA,NA,NA,NA,"rkm2","ydr198c","ORF","852533-853972","-","IV","ydr198c",-9.63253262843756
NA,NA,NA,NA,"rtr1","yer139c","ORF","450563-451243","-","V","yer139c",-9.63492097701172
NA,NA,NA,NA,"csi1","ymr025w","ORF","323300-324187","+","XIII","ymr025w",-9.66861953830091
NA,NA,NA,NA,"spc98","ynl126w","ORF","387227-389767","+","XIV","ynl126w",-9.7304286171288
NA,NA,NA,NA,"spo7","yal009w","ORF","135854-136633","+","I","yal009w",-9.75060567945589
NA,NA,NA,NA,"sit1","yel065w","ORF","27657-29543","+","V","yel065w",-9.75339722862997
NA,NA,NA,NA,"ecm10","yel030w","ORF","94644-96578","+","V","yel030w",-9.76079483376112
NA,NA,NA,NA,"thi11","yjr156c","ORF","728574-729596","-","X","yjr156c",-9.78346974569565
NA,NA,NA,NA,"med7","yol135c","ORF","69376-70044","-","XV","yol135c",-9.79939782067683
NA,NA,NA,NA,"ybr196c-b","ybr196c-b","ORF","614526-614630","-","II","ybr196c-b",-9.82052435933068
"swi6",0,0,1,"swi6","ylr182w","ORF","517940-520351","+","XII","ylr182w",-9.82102954576544
NA,NA,NA,NA,"msb4","yol112w","ORF","106710-108188","+","XV","yol112w",-9.84392022498182
"rrg9",0,0,1,"rrg9","ynl213c","ORF","246460-247104","-","XIV","ynl213c",-9.89933486240879
NA,NA,NA,NA,"yil134c-a","yil134c-a","ORF","96522-96725","-","IX","yil134c-a",-9.90745659830448
"rpl34b",0,1,0,"rpl34b","yil052c","ORF","256226-257063","-","IX","yil052c",-9.92235521183602
NA,NA,NA,NA,"rad14","ymr201c","ORF","665845-667044","-","XIII","ymr201c",-9.93223567228514
NA,NA,NA,NA,"stb5","yhr178w","ORF","459299-461530","+","VIII","yhr178w",-9.93777563826085
NA,NA,NA,NA,"das1","yjl149w","ORF","137379-139370","+","X","yjl149w",-9.98595497384212
NA,NA,NA,NA,"yil092w","yil092w","ORF","189066-190967","+","IX","yil092w",-9.99343364101837
NA,NA,NA,NA,"ynr029c","ynr029c","ORF","677199-678488","-","XIV","ynr029c",-10.0302726761823
NA,NA,NA,NA,"rts2","yor077w","ORF","471899-472597","+","XV","yor077w",-10.1014185912734
NA,NA,NA,NA,"lsm8","yjr022w","ORF","469784-470113","+","X","yjr022w",-10.1107687174912
"sgs1",0.75,0,0.25,"sgs1","ymr190c","ORF","640915-645258","-","XIII","ymr190c",-10.1731853955449
NA,NA,NA,NA,"fol3","ymr113w","ORF","494999-496282","+","XIII","ymr113w",-10.1767244774426
"atg17",0,0,1,"atg17","ylr423c","ORF","971917-973170","-","XII","ylr423c",-10.2242666972623
NA,NA,NA,NA,"ydr415c","ydr415c","ORF","1297037-1298161","-","IV","ydr415c",-10.2433000070366
NA,NA,NA,NA,"ynl028w","ynl028w","ORF","578679-578996","+","XIV","ynl028w",-10.2524496699308
NA,NA,NA,NA,"afi1","yor129c","ORF","566877-569558","-","XV","yor129c",-10.297048715422
NA,NA,NA,NA,"kxd1","ygl079w","ORF","359444-360100","+","VII","ygl079w",-10.2972834446194
NA,NA,NA,NA,"yjr015w","yjr015w","ORF","462721-464253","+","X","yjr015w",-10.3010615504238
NA,NA,NA,NA,"est2","ylr318w","ORF","766542-769196","+","XII","ylr318w",-10.3150524909131
NA,NA,NA,NA,"fus1","ycl027w","ORF","71803-73341","+","III","ycl027w",-10.334502334646
NA,NA,NA,NA,"yah1","ypl252c","ORF","73363-73881","-","XVI","ypl252c",-10.3405715929772
NA,NA,NA,NA,"csm2","yil132c","ORF","99860-100501","-","IX","yil132c",-10.3609670289418
NA,NA,NA,NA,"lnp1","yhr192w","ORF","486826-487662","+","VIII","yhr192w",-10.4244226069003
"mrpl38",0,0,1,"mrpl38","ykl170w","ORF","130634-131050","+","XI","ykl170w",-10.4814289218697
NA,NA,NA,NA,"sed5","ylr026c","ORF","195450-196472","-","XII","ylr026c",-10.4832937448772
NA,NA,NA,NA,"spt3","ydr392w","ORF","1258696-1259709","+","IV","ydr392w",-10.5419048976631
NA,NA,NA,NA,"swp82","yfl049w","ORF","36803-38674","+","VI","yfl049w",-10.5528709501658
NA,NA,NA,NA,"yfl066c","yfl066c","ORF","1437-2615","-","VI","yfl066c",-10.5836864615887
NA,NA,NA,NA,"cus1","ymr240c","ORF","749930-751240","-","XIII","ymr240c",-10.5999430247851
"sas4",0,1,0,"sas4","ydr181c","ORF","825910-827355","-","IV","ydr181c",-10.7462224335649
NA,NA,NA,NA,"vps72","ydr485c","ORF","1424820-1427207","-","IV","ydr485c",-10.8010673696231
NA,NA,NA,NA,"mcm2","ybl023c","ORF","174920-177526","-","II","ybl023c",-10.9168938474213
"vms1",0,0,1,"vms1","ydr049w","ORF","553254-555152","+","IV","ydr049w",-10.9790872291861
NA,NA,NA,NA,"plb2","ymr006c","ORF","277561-279681","-","XIII","ymr006c",-11.0110146781987
NA,NA,NA,NA,"thp2","yhr167w","ORF","439342-440127","+","VIII","yhr167w",-11.0343560888507
NA,NA,NA,NA,"snn1","ynl086w","ORF","466334-466642","+","XIV","ynl086w",-11.1236190788592
NA,NA,NA,NA,"cox10","ypl172c","ORF","224353-225741","-","XVI","ypl172c",-11.1269733009343
"kar3",0,1,0,"kar3","ypr141c","ORF","815734-817923","-","XVI","ypr141c",-11.1291464764576
NA,NA,NA,NA,"pdc2","ydr081c","ORF","607304-610081","-","IV","ydr081c",-11.2116258305875
NA,NA,NA,NA,"cwc22","ygr278w","ORF","1046731-1048464","+","VII","ygr278w",-11.2166221962758
NA,NA,NA,NA,"mps2","ygl075c","ORF","366925-368088","-","VII","ygl075c",-11.2177177841211
NA,NA,NA,NA,"ime1","yjr094c","ORF","604569-605651","-","X","yjr094c",-11.2273779796165
NA,NA,NA,NA,"ydr338c","ydr338c","ORF","1147379-1149466","-","IV","ydr338c",-11.2420647806398
NA,NA,NA,NA,"nup1","yor098c","ORF","507948-511178","-","XV","yor098c",-11.2594042265905
"hrd3",0,0,1,"hrd3","ylr207w","ORF","556788-559289","+","XII","ylr207w",-11.2619192041236
"erv2",0,1,0,"erv2","ypr037c","ORF","646448-647038","-","XVI","ypr037c",-11.2871219489759
NA,NA,NA,NA,"ykl136w","ykl136w","ORF","186416-186814","+","XI","ykl136w",-11.2894553516249
NA,NA,NA,NA,"mtg2","yhr168w","ORF","440377-441933","+","VIII","yhr168w",-11.3040299321911
NA,NA,NA,NA,"ynl089c","ynl089c","ORF","456693-457169","-","XIV","ynl089c",-11.3242595524167
NA,NA,NA,NA,"rad5","ylr032w","ORF","204991-208500","+","XII","ylr032w",-11.3833340169523
"bpt1",0,1,0,"bpt1","yll015w","ORF","116432-121111","+","XII","yll015w",-11.4177225210695
NA,NA,NA,NA,"aad4","ydl243c","ORF","17577-18566","-","IV","ydl243c",-11.4870868740158
NA,NA,NA,NA,"arc18","ylr370c","ORF","861718-862254","-","XII","ylr370c",-11.5024131391967
NA,NA,NA,NA,"nup2","ylr335w","ORF","797430-799592","+","XII","ylr335w",-11.5914797151886
NA,NA,NA,NA,"pps1","ybr276c","ORF","757620-760043","-","II","ybr276c",-11.644043077521
NA,NA,NA,NA,"taf6","ygl112c","ORF","298178-299728","-","VII","ygl112c",-11.7826997876481
NA,NA,NA,NA,"sps2","ydr522c","ORF","1483795-1485303","-","IV","ydr522c",-11.8215710277247
NA,NA,NA,NA,"ynl277w-a","ynl277w-a","ORF","116679-116867","+","XIV","ynl277w-a",-11.8308525593619
NA,NA,NA,NA,"vba1","ymr088c","ORF","443414-445102","-","XIII","ymr088c",-11.8425802055332
NA,NA,NA,NA,"cox17","yll009c","ORF","131205-131414","-","XII","yll009c",-11.9214588064077
NA,NA,NA,NA,"hot13","ykl084w","ORF","280509-280859","+","XI","ykl084w",-11.9284025439866
NA,NA,NA,NA,"rbl2","yor265w","ORF","820454-820774","+","XV","yor265w",-11.9501012561288
NA,NA,NA,NA,"acl4","ydr161w","ORF","779043-780206","+","IV","ydr161w",-11.9612808492963
"rpd3",0,1,0,"rpd3","ynl330c","ORF","18001-19302","-","XIV","ynl330c",-11.9813106182081
NA,NA,NA,NA,"med6","yhr058c","ORF","218997-219884","-","VIII","yhr058c",-11.9908920128182
"afg3",0,1,0,"afg3","yer017c","ORF","189503-191788","-","V","yer017c",-12.1164896695693
NA,NA,NA,NA,"tog1","yer184c","ORF","556296-558680","-","V","yer184c",-12.1220181112311
NA,NA,NA,NA,"yrb2","yil063c","ORF","242761-243744","-","IX","yil063c",-12.1552314963099
NA,NA,NA,NA,"cdc10","ycr002c","ORF","117380-118348","-","III","ycr002c",-12.1711461151502
NA,NA,NA,NA,"yel043w","yel043w","ORF","70478-73348","+","V","yel043w",-12.2147689112499
NA,NA,NA,NA,"swc7","ylr385c","ORF","892992-893390","-","XII","ylr385c",-12.2632514883403
NA,NA,NA,NA,"vip1","ylr410w","ORF","937541-940981","+","XII","ylr410w",-12.2715132563498
NA,NA,NA,NA,"psf3","yol146w","ORF","48864-49448","+","XV","yol146w",-12.2894325978001
NA,NA,NA,NA,"rrt2","ybr246w","ORF","711591-712754","+","II","ybr246w",-12.2900322924023
NA,NA,NA,NA,"mch2","ykl221w","ORF","6107-7528","+","XI","ykl221w",-12.3257429013083
NA,NA,NA,NA,"yol038c-a","yol038c-a","ORF","254926-255021","-","XV","yol038c-a",-12.3363201169331
NA,NA,NA,NA,"guf1","ylr289w","ORF","715089-717026","+","XII","ylr289w",-12.4207286230178
NA,NA,NA,NA,"rma1","ykl132c","ORF","193574-194866","-","XI","ykl132c",-12.4487686874097
NA,NA,NA,NA,"plp1","ydr183w","ORF","829585-830277","+","IV","ydr183w",-12.4578305022761
NA,NA,NA,NA,"hst3","yor025w","ORF","378219-379562","+","XV","yor025w",-12.471707463179
NA,NA,NA,NA,"mip6","yhr015w","ORF","134554-136533","+","VIII","yhr015w",-12.5000826450855
NA,NA,NA,NA,"hos1","ypr068c","ORF","682941-684353","-","XVI","ypr068c",-12.5160881855435
NA,NA,NA,NA,"bdp1","ynl039w","ORF","555048-556832","+","XIV","ynl039w",-12.5416002819827
NA,NA,NA,NA,"ste7","ydl159w","ORF","172481-174028","+","IV","ydl159w",-12.558984618298
NA,NA,NA,NA,"ira1","ybr140c","ORF","517350-526628","-","II","ybr140c",-12.5844682707235
NA,NA,NA,NA,"chm7","yjl049w","ORF","345973-347325","+","X","yjl049w",-12.6144449946242
NA,NA,NA,NA,"ydr239c","ydr239c","ORF","941057-943420","-","IV","ydr239c",-12.6259620512168
NA,NA,NA,NA,"ski6","ygr195w","ORF","888882-889622","+","VII","ygr195w",-12.7894694315667
"pca1",0,0,1,"pca1","ybr295w","ORF","792849-796499","+","II","ybr295w",-12.799403952902
NA,NA,NA,NA,"yjl181w","yjl181w","ORF","85660-87495","+","X","yjl181w",-12.8214413140555
NA,NA,NA,NA,"atg11","ypr049c","ORF","661137-664673","-","XVI","ypr049c",-12.9043778311581
NA,NA,NA,NA,"rev1","yor346w","ORF","981828-984785","+","XV","yor346w",-12.9201495573416
"gas1",0,0,1,"gas1","ymr307w","ORF","887003-888682","+","XIII","ymr307w",-12.9229641793348
NA,NA,NA,NA,"dal4","yir028w","ORF","408468-410375","+","IX","yir028w",-12.926084997273
NA,NA,NA,NA,"yea4","yel004w","ORF","146951-147979","+","V","yel004w",-12.933689750827
NA,NA,NA,NA,"ymr221c","ymr221c","ORF","713931-715445","-","XIII","ymr221c",-12.9668644072552
NA,NA,NA,NA,"jhd1","yer051w","ORF","254656-256134","+","V","yer051w",-13.052619562423
NA,NA,NA,NA,"cdc1","ydr182w","ORF","827582-829057","+","IV","ydr182w",-13.1071332613652
NA,NA,NA,NA,"dnf2","ydr093w","ORF","631282-636120","+","IV","ydr093w",-13.1182315289545
NA,NA,NA,NA,"ykl050c","ykl050c","ORF","342852-345620","-","XI","ykl050c",-13.1487720027562
