"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11"
NA,NA,NA,NA,"pho81","ygr233c","ORF","954674-958210","-","VII","ygr233c",0.0175149689655175,0.000957224242423501,0.00123017368421124,-0.0367835333333336,0.0217702937500001,0.0297373092592593,0.0776910387096773,-0.0143919742857145,-0.0239822721518987,-0.027599376404494,-0.0101347485148517
NA,NA,NA,NA,"ydr415c","ydr415c","ORF","1297037-1298161","-","IV","ydr415c",0.112269258620689,0.0897766939393939,0.0235659315789477,0.0857011738095241,-0.261052691666667,-0.242078038888889,-0.0611236725806449,-0.102108441428572,-0.162393653164557,-0.16320872247191,-0.158143501980198
NA,NA,NA,NA,"spp382","ylr424w","ORF","973395-975521","+","XII","ylr424w",0.00737445172413771,0.00560342787878791,0.00652782947368439,0.0172389895238095,-0.00256985645833337,-0.0125477468518518,-0.0159726787096775,-0.0219175671428571,0.00382494227848096,0.0279640226966292,0.0671087121782178
NA,NA,NA,NA,"prp18","ygr006w","ORF","506070-506825","+","VII","ygr006w",0.017631151724138,-0.0308968878787876,-0.0836951947368421,-0.158121804761905,-0.238922685416667,-0.217889157407407,-0.127088856451613,0.0135473485714286,-0.0143591987341772,-0.00259208651685399,-0.0151514940594059
NA,NA,NA,NA,"ygr026w","ygr026w","ORF","532985-533821","+","VII","ygr026w",-1.5939594137931,-1.5795686060606,-1.43388040526316,-1.72921793571429,-0.669946695833333,-0.231629775925926,0.487561816129033,-1.09069934142857,-0.273889936708861,0.277783521348315,1.15368397920792
NA,NA,NA,NA,"mrpl51","ypr100w","ORF","729791-730213","+","XVI","ypr100w",0.562961103448277,0.609661666666665,0.421092500000002,0.913332238095239,-0.684794416666667,-0.777512037037037,-0.423100209677419,-0.39941743,-0.203679892405064,0.035553126966293,0.344860606930692
NA,NA,NA,NA,"ypr099c","ypr099c","ORF","729757-730113","-","XVI","ypr099c",0.569849896551724,0.623525969696967,0.427612473684212,0.99551342857143,-0.756461145833335,-0.864839537037035,-0.502499596774194,-0.452187071428572,-0.252071025316455,0.00903359550561796,0.35225599009901
NA,NA,NA,NA,"pdr17","ynl264c","ORF","145563-146615","-","XIV","ynl264c",-0.693291003448277,-0.758838799999999,-0.684446573684211,-1.03318708333333,-0.127058445833333,0.18714527037037,0.671571577419355,-0.0405614585714282,-0.0289039721518987,-0.00161657752809003,0.110789778217822
NA,NA,NA,NA,"yjr018w","yjr018w","ORF","466786-467148","+","X","yjr018w",-0.090148310344827,0.0573786969696951,0.047343815789474,0.598637119047619,-0.389498312500001,-0.530792833333333,-0.675124129032259,-0.436777428571428,-0.593067344303798,-0.752382331460673,-1.02435308217822
NA,NA,NA,NA,"rsc4","ykr008w","ORF","452201-454078","+","XI","ykr008w",0.274121320689656,0.314115178787879,0.333642994736841,0.538097307142857,0.270879116666668,0.0934657000000001,-0.273936058064517,0.127542814285714,-0.0402252379746832,-0.164711414606741,-0.343728667326733
NA,NA,NA,NA,"emp70","ylr083c","ORF","294091-296094","-","XII","ylr083c",0.114421158620692,-0.0224214030303022,-0.112141581578948,-0.373582726190476,-0.249885770833333,-0.259278901851853,-0.454391014516129,0.797285785714286,0.0556857139240514,-0.412133239325843,-1.22905127128713
NA,NA,NA,NA,"yor200w","yor200w","ORF","720417-720815","+","XV","yor200w",-0.0329313620689661,-0.150508554545455,-0.19782759736842,-0.531125914285714,-0.187754912500001,0.13291232777778,0.97182405967742,0.33006449,-0.148293769620254,-0.461685832584269,-0.833780852475247
"rad9",0,0,1,"rad9","ydr217c","ORF","899551-903480","-","IV","ydr217c",0.0535674586206901,0.0499075848484845,0.0454244921052633,0.0460705666666665,0.0272082479166669,-0.00255525370370369,-0.076009470967742,0.0568212228571429,0.038086858227848,0.0278998674157303,0.000651097029703002
NA,NA,NA,NA,"rna1","ymr235c","ORF","741512-742735","-","XIII","ymr235c",-0.00522420689654954,-0.0696564242424253,-0.0625372105263161,-0.15331969047619,0.151785166666668,-0.148945537037038,-1.22327532258065,0.224367828571427,0.417691215189875,0.649211775280898,0.845582247524752
"mns1",0,1,0,"mns1","yjr131w","ORF","667644-669293","+","X","yjr131w",0.0134678103448273,0.00811796060606063,-0.00661437631578951,-0.00113345238095232,-0.0646006562500001,-0.102335275925926,-0.158121570967742,-0.137314007285714,-0.0259724583544304,0.0579014738202246,0.175290496534654
NA,NA,NA,NA,"prp5","ybr237w","ORF","691969-694518","+","II","ybr237w",0.174608437931035,0.228367851515151,0.227596547368421,0.432248447619048,0.07815408125,-0.038762975925926,-0.226592351612903,-0.100821407142857,0.0173838379746836,0.0996339494382022,0.208964032673267
"lst7",0,0,1,"lst7","ygr057c","ORF","604773-605501","-","VII","ygr057c",0.204707079310344,0.221208742424242,0.24141847368421,0.306865811904762,0.276090422916668,0.202744633333333,0.0929794241935489,-0.00617953428571484,-0.0706553455696201,-0.135913530337079,-0.176525354455445
"dpb4",0,0,1,"dpb4","ydr121w","ORF","693585-694175","+","IV","ydr121w",0.619026731034484,0.654513812121211,0.609484913157895,0.868942997619046,0.347952625,-0.183425488888889,-1.48240374354839,0.0177173185714291,0.0713285696202519,0.104686938202247,0.0324819920792077
NA,NA,NA,NA,"bfa1","yjr053w","ORF","534027-535751","+","X","yjr053w",-0.00676652724137918,-0.0208787527272728,-0.0310053528947368,-0.0597255616666668,-0.0517989820833332,-0.0315966268518519,0.0191210903225807,0.0356832352857142,-0.00399104113924049,-0.0240274539325842,-0.056980933069307
NA,NA,NA,NA,"ndj1","yol104c","ORF","116396-117454","-","XV","yol104c",-0.171627082413793,-0.167954478787879,-0.126232663684211,-0.193248622619048,0.0691454416666667,0.164004524259259,0.33223202516129,0.0437907171428572,-0.064297282278481,-0.166340290112359,-0.276286644356436
"pfa3",0,0,1,"pfa3","ynl326c","ORF","27337-28347","-","XIV","ynl326c",-0.0172378206896562,0.0366065757575761,0.0550578368421057,0.258494352380952,-0.00155194791666628,-0.062572692592593,-0.194156975806451,-0.0886673900000002,-0.0393667645569622,0.00735505842696626,0.0661669405940598
NA,NA,NA,NA,"msg5","ynl053w","ORF","529942-531411","+","XIV","ynl053w",-0.0562530517241384,-0.122817512121213,-0.147727055263157,-0.299207366666667,-0.133242139583334,-0.111126574074074,-0.151801440322581,0.282171885714286,0.197772527848101,0.191983051685394,0.125837048514851
NA,NA,NA,NA,"yor102w","yor102w","ORF","516423-516773","+","XV","yor102w",-0.88351820689655,-0.917226454545454,-0.895826684210526,-1.04449807142857,-0.599330124999999,-0.619106499999999,-0.980032741935486,-0.937404165714286,0.388455163291139,1.46080987303371,2.92815847524753
"fum1",0,0,1,"fum1","ypl262w","ORF","47336-48802","+","XVI","ypl262w",0.0166933931034491,0.197862984848486,0.178439310526315,0.627603538095236,-0.269600670833331,-0.306043146296296,-0.0356206241935484,-0.880727365714287,-0.338573930379747,-0.038958998876404,0.434095031683169
"yuh1",0,0,1,"yuh1","yjr099w","ORF","615576-616286","+","X","yjr099w",0.106498389655173,0.179132209090909,0.118267065789474,0.452174378571428,-0.3118716,-0.484817648148148,-0.858252446774194,-0.162292885714286,0.126001375949367,0.381977177528089,0.622366311881189
NA,NA,NA,NA,"swt21","ynl187w","ORF","287994-289067","+","XIV","ynl187w",0.0814198000000004,0.0958743121212121,0.102556163157895,0.155302861904762,0.0776390687500002,0.0657365370370366,0.100927970967742,-0.0153253742857145,0.00778317215189887,0.0226035853932583,0.0677785643564356
NA,NA,NA,NA,"str2","yjr130c","ORF","665218-667137","-","X","yjr130c",0.309345817241379,0.446940475757576,0.474553065789472,0.912918571428573,0.222719583333332,0.0579576148148148,-0.122042408064516,-0.084472295714286,-0.0368121936708859,-0.04766956741573,-0.0599166059405942
NA,NA,NA,NA,"caf20","yor276w","ORF","841333-841818","+","XV","yor276w",2.15699120689655,1.811498,1.55271963157893,1.28533097619048,0.946767624999995,-0.761429074074074,-4.94502938709677,0.705704557142854,0.624333518987342,0.706861797752807,0.422476851485149
"spe2",0,0,1,"spe2","yol052c","ORF","232446-233636","-","XV","yol052c",0.0957707241379314,0.0356120272727278,0.00420699210526384,-0.0827896071428569,-0.0707158979166674,0.0247862777777772,0.314279637096775,0.30132544,-0.192702840506329,-0.525243557303371,-0.975853597029704
NA,NA,NA,NA,"myo4","yal029c","ORF","87855-92270","-","I","yal029c",-0.184240572413793,-0.236875921212121,-0.229125,-0.420780785714285,-0.0694117520833333,0.00692437037037026,0.129969375806452,-0.0441246785714284,-0.0020941810126585,0.0345377235955057,0.106653355445544
NA,NA,NA,NA,"gas2","ylr343w","ORF","816094-817761","+","XII","ylr343w",-0.0619448379310351,-0.103273521212121,-0.0968684552631584,-0.191508042857143,-0.0220613895833329,0.158226709259259,0.512422703225806,0.587745217142857,0.0186660000000006,-0.356442861797753,-0.898868403960397
NA,NA,NA,NA,"def1","ykl054c","ORF","336537-338753","-","XI","ykl054c",-0.595400372413793,-0.457744678787879,-0.201083726315788,-0.0088238595238112,0.513627416666666,0.420888112962964,0.272757127419355,-0.709173601428572,-0.401560518987342,-0.334304238202246,-0.0536434277227732
NA,NA,NA,NA,"grr1","yjr090c","ORF","590872-594327","-","X","yjr090c",0.00156847931034443,0.0055648909090912,0.0190754684210527,0.0259617023809522,0.0555074124999999,0.0600783370370372,0.0783093064516128,0.04612542,-0.0158912303797468,-0.0662580516853932,-0.126503572277228
NA,NA,NA,NA,"stb1","ynl309w","ORF","52662-53924","+","XIV","ynl309w",0.00100943793103452,-0.0320396424242423,-0.0602438263157894,-0.137787471428572,-0.124682683333333,-0.0224510166666667,0.250899058064516,0.109151377142857,0.0306089873417722,0.000902177528089884,-0.0365774722772277
NA,NA,NA,NA,"ylr235c","ylr235c","ORF","611532-611930","-","XII","ylr235c",0.117690512758621,0.104245600606061,0.0788998465789474,0.0654661733333334,-0.0177618510416666,0.00317819629629631,0.109468043064516,0.0832114584285715,-0.00485334962025316,-0.0617614758426966,-0.139669692277228
NA,NA,NA,NA,"tda9","yml081w","ORF","104777-108532","+","XIII","yml081w",0.0917937931034482,0.0695349303030299,0.0638615473684215,0.0117067357142851,0.0804889708333338,0.115996511111111,0.183541388709678,0.225062538571428,0.164276991139241,0.150303765168539,0.131096159405941
NA,NA,NA,NA,"chz1","yer030w","ORF","213437-213898","+","V","yer030w",1.07349217241379,1.39729439393939,1.1977302631579,2.50531409523809,-0.515014020833332,-1.40769377777778,-2.86113158064516,-1.25612283285714,0.6419117,2.06507597752809,3.79350718811881
NA,NA,NA,NA,"ypl162c","ypl162c","ORF","243206-244027","-","XVI","ypl162c",-0.026419089655173,-0.0366153454545447,-0.103235976315789,-0.02313075,-0.43259279375,-0.347418703703704,-0.00590124032258082,-0.0750298299999998,-0.148066917721519,-0.157122075280899,-0.191240258415842
NA,NA,NA,NA,"prs1","ykl181w","ORF","107316-108599","+","XI","ykl181w",0.66092413793103,0.535594303030307,0.634308605263153,0.356071714285716,1.38281345833333,0.735592925925924,-1.29948717741935,0.773617385714285,0.358735417721518,0.071815910112362,-0.376571405940596
NA,NA,NA,NA,"sur2","ydr297w","ORF","1056551-1057600","+","IV","ydr297w",2.38990503448277,2.06208563636363,1.6225655,1.28281873809524,0.361614250000001,-0.285536666666667,-1.25482474193548,-0.0297473428571452,0.751186544303799,1.56234594382022,2.71078148514852
NA,NA,NA,NA,"ypr146c","ypr146c","ORF","825347-825676","-","XVI","ypr146c",-0.16012624137931,-0.0783854909090909,0.024758644736842,0.131635416666667,0.31560570625,0.338555564814815,0.331626975806451,0.0169353171428576,-0.0377836303797469,-0.145000102247192,-0.253077014851485
NA,NA,NA,NA,"stb5","yhr178w","ORF","459299-461530","+","VIII","yhr178w",0.0620735755172411,0.0850436509090906,0.0903544321052633,0.150551571190476,0.0667887735416669,0.0295639703703704,-0.0342148338709677,-0.0410664611428572,0.0224503617721518,0.0592577134831461,0.114755113861386
NA,NA,NA,NA,"gua1","ymr217w","ORF","701790-703367","+","XIII","ymr217w",0.78992024137933,0.248050454545447,0.333642289473675,-1.07288628571428,2.02872914583333,1.15365125925926,-2.32160750000001,2.9128448,-1.31388722784809,-4.52593216853932,-9.27476066336634
"ycr043c",0,0,1,"ycr043c","ycr043c","ORF","206261-206644","-","III","ycr043c",1.04040765517242,0.95410487878788,0.831063263157896,0.909907214285715,0.556220145833333,-0.204897444444448,-2.36747835483871,0.702705242857145,0.932942506329113,1.27637666292135,1.49745748514852
"cup9",0,0,1,"cup9","ypl177c","ORF","213042-213962","-","XVI","ypl177c",-0.192304268965518,0.0217249181818171,0.0980139789473692,0.582968264285716,0.0584593833333328,0.00163731666666599,-0.204575756451613,-0.206404622857142,0.17831789113924,0.407820830337078,0.672631157425743
NA,NA,NA,NA,"coq2","ynr041c","ORF","700541-701659","-","XIV","ynr041c",0.472462913793105,0.520132675757576,0.508234721052631,0.71680856904762,0.241476187499999,0.0729591055555558,-0.0714079241935479,0.0486234728571426,0.0805100708860756,0.07910332247191,0.0846552732673269
NA,NA,NA,NA,"yhr071c-a","yhr071c-a","ORF","238910-239230","-","VIII","yhr071c-a",0.395431603448275,0.406102875757576,0.394646113157894,0.51788644047619,0.237862777083334,0.0735378685185179,-0.163711885483871,0.076894225714285,0.0946369050632913,0.112235146067416,0.146150945544555
NA,NA,NA,NA,"img1","ycr046c","ORF","209914-210423","-","III","ycr046c",0.0131463551724125,0.127067575757577,0.109874281578947,0.497482776190474,-0.250357691666666,-0.343696392592592,-0.58938141451613,0.290177938571428,0.496327587341774,0.707244143820223,0.831322731683169
NA,NA,NA,NA,"yor050c","yor050c","ORF","424270-424617","-","XV","yor050c",0.304955737931035,0.430168239393939,0.456229452631579,0.840954928571429,0.224547385416667,0.103117366666666,-0.0526402032258065,0.221885294285715,0.276020826582278,0.301754392134831,0.289783376237624
NA,NA,NA,NA,"ymr141w-a","ymr141w-a","ORF","550911-551135","+","XIII","ymr141w-a",-0.0466171379310289,-0.540988757575764,-0.708186578947364,-1.68432154761905,-0.636474833333332,-0.825116370370374,-1.30388329032258,0.00865445714285735,0.185139848101267,0.573925191011234,1.09170537623762
NA,NA,NA,NA,"vhc1","ybr235w","ORF","686901-690263","+","II","ybr235w",-0.0799688965517243,-0.0543435363636369,-0.0433378789473683,0.0216149238095239,-0.0531656354166661,-0.0636987351851855,-0.0754104903225806,-0.136162957142857,-0.0460437303797468,0.00896492134831461,0.0861037574257425
NA,NA,NA,NA,"erv29","ygr284c","ORF","1060658-1061590","-","VII","ygr284c",-1.13932177586207,-1.05569223030303,-0.912242944736843,-0.829510173809523,-0.391665054166665,-0.316129611111112,-0.257674800000001,-1.35666196714286,-0.475078155696202,0.12410456741573,1.09551221782178
NA,NA,NA,NA,"bem4","ypl161c","ORF","244319-246220","-","XVI","ypl161c",-0.0679178689655167,-0.0709680363636366,-0.0622606263157892,-0.0646987833333336,-0.0420933458333332,-0.0425241037037039,0.00623582903225829,-0.172850554285714,-0.118899606835443,-0.0899197943820224,-0.019589292970297
NA,NA,NA,NA,"tre2","yor256c","ORF","808254-810683","-","XV","yor256c",0.252926679310344,0.318034424242424,0.343545378947368,0.554793761904762,0.274013200000001,0.136567188888888,-0.0710158612903223,-0.0879626314285714,0.0360546531645569,0.101081950561798,0.220275321782178
NA,NA,NA,NA,"ybr219c","ybr219c","ORF","662499-663303","-","II","ybr219c",0.444769937931032,0.4556167,0.355808463157894,0.549656892857144,-0.226692683333334,-0.297777975925926,-0.100611930645162,-0.10191414,-0.389993118987341,-0.625471103370786,-0.96240159108911
NA,NA,NA,NA,"stn1","ydr082w","ORF","610441-611925","+","IV","ydr082w",0.142134393103449,0.151992524242424,0.124218513157895,0.224098342857143,-0.0478906604166666,-0.104843762962963,-0.177224322580645,0.0155023899999997,-0.0050441531645568,-0.00130599325842695,-0.0167509693069306
NA,NA,NA,NA,"gfa1","ykl104c","ORF","243220-245373","-","XI","ykl104c",-0.222901144827584,-0.240327227272731,-0.245813339473682,-0.175869076190477,-0.393974666666666,-0.273524511111113,0.269664877419355,-0.283373785714285,-0.480730951898735,-0.60863083707865,-0.708413422772278
NA,NA,NA,NA,"sfp1","ylr403w","ORF","925568-927619","+","XII","ylr403w",-0.126640289655172,-0.130552039393939,-0.0675852684210526,-0.161642219047619,0.208084502083333,0.313374368518519,0.605083008064517,-0.132535570000001,-0.250161648101266,-0.388119792134831,-0.464883639603961
NA,NA,NA,NA,"kar5","ymr065w","ORF","399702-401216","+","XIII","ymr065w",0.0926301275862072,0.109610375757576,0.108039313157895,0.183645233333333,0.0407849354166667,-0.0345191500000001,-0.179137241935484,0.00157430285714279,0.0283273265822784,0.0454274516853934,0.0533117584158416
NA,NA,NA,NA,"sem1","ydr363w-a","ORF","1202128-1202397","+","IV","ydr363w-a",0.866731689655173,1.54500678787879,1.67684578947368,3.84825445238096,0.6960801875,-0.861617259259259,-3.9091605967742,-2.78168028571428,0.320825594936709,2.43447542696629,5.34782687128713
NA,NA,NA,NA,"pbp1","ygr178c","ORF","851047-853215","-","VII","ygr178c",-0.0760687413793105,0.0137310060606063,0.0506557973684202,0.302066026190477,-0.0161472166666673,-0.0794795148148142,-0.167866546774194,-0.128992151428571,-0.224572224050633,-0.34535093483146,-0.527160086138615
"sro77",0,0,1,"sro77","ybl106c","ORF","10847-13879","-","II","ybl106c",-0.00484454379310329,0.0118236212121212,0.0221755018421052,0.0619225659523809,0.0243467277083333,0.0567155205555557,0.121871845645161,0.134263054142857,0.0547821221518988,-0.000218548764045036,-0.0873777946534653
NA,NA,NA,NA,"brr2","yer172c","ORF","529530-536021","-","V","yer172c",-0.0677439403448277,-0.0873474051515151,-0.0786515949999999,-0.147828731428572,0.00753912333333329,0.0259843768518519,0.0142997046774193,0.0675889558571429,0.0412014996202532,0.0300662887640449,0.0106115627722773
NA,NA,NA,NA,"yil068w-a","yil068w-a","ORF","233013-233396","+","IX","yil068w-a",-0.137153320689655,-0.0897023787878793,-0.00846256842105276,0.0160476928571429,0.297473970833334,0.200166451851852,-0.090666237096774,-0.393434397142857,0.0344690000000001,0.294814560674157,0.72397177029703
NA,NA,NA,NA,"tim22","ydl217c","ORF","67983-68606","-","IV","ydl217c",0.304697158620691,0.305241451515151,0.250451047368421,0.424883847619047,-0.0776488124999997,-0.273621407407408,-0.623007166129032,-0.00172832428571468,0.244348308860759,0.494830580898876,0.787203564356437
NA,NA,NA,NA,"ssu72","ynl222w","ORF","229094-229714","+","XIV","ynl222w",-0.248373593103448,-0.246368778787879,-0.193133757894737,-0.262039230952381,0.0188355208333328,0.128589153703704,0.364273369354839,0.00102089142857155,-0.100537029113924,-0.202012886516854,-0.303982038613862
NA,NA,NA,NA,"sam50","ynl026w","ORF","581920-583374","+","XIV","ynl026w",-0.320736410344829,-0.339058015151515,-0.302576513157895,-0.428455330952381,-0.07422734375,0.00733423518518547,0.134313308064516,-0.240738054285714,-0.0846945088607595,0.0166614258426965,0.20281071980198
NA,NA,NA,NA,"cch1","ygr217w","ORF","924696-930815","+","VII","ygr217w",0.02804178,0.0212685790909092,0.0165468721052632,0.00582872166666653,0.00282482895833343,0.0106008853703703,0.0412630906451613,0.0434766984285714,-0.0205646740506329,-0.0658547774157303,-0.127239156336634
NA,NA,NA,NA,"tfc1","ybr123c","ORF","484742-486691","-","II","ybr123c",-0.0801880379310348,-0.135680957575758,-0.197787102631579,-0.29889029047619,-0.387127877083333,-0.306073548518519,-0.0834264298387096,0.0647130234285715,0.107201744177215,0.191901845393258,0.256820047524753
NA,NA,NA,NA,"hem4","yor278w","ORF","842817-843644","+","XV","yor278w",-0.213628865517241,-0.30007803939394,-0.334256615789473,-0.595559761904762,-0.276307160416667,-0.133743812962963,0.0656989758064517,0.272772191428571,0.110846039240506,0.0369913977528089,-0.123429512871287
NA,NA,NA,NA,"ydr261w-b","ydr261w-b","transposable_element_gene","981462-986775","+","IV","ydr261w-b",-0.00848017344827588,-0.012282890909091,-0.0142097597368421,-0.0248926457142857,-0.014524545625,-0.0127590968518518,-0.0101740820967742,-0.00335172771428573,-0.00804966518987341,-0.0114485728089888,-0.0177027453465346
NA,NA,NA,NA,"esl1","yil151c","ORF","57338-60694","-","IX","yil151c",0.0217951172413788,0.0205952787878796,0.0221127789473685,0.03640709047619,-0.0100154187500001,0.0482791018518522,0.253713219354839,0.0805197614285714,-0.0340988139240507,-0.111285256179775,-0.197542311881188
NA,NA,NA,NA,"rad1","ypl022w","ORF","506697-509999","+","XVI","ypl022w",0.00585129310344835,0.0215149090909089,0.0455939552631575,0.0864750357142856,0.0884771750000005,0.0578981148148143,0.0528776661290324,-0.151326431428572,-0.0911342177215188,-0.0687450797752807,0.00527517524752449
NA,NA,NA,NA,"trp4","ydr354w","ORF","1184747-1185889","+","IV","ydr354w",-0.772837651724138,-0.920272851515152,-0.906565855263155,-1.45734292380953,-0.519311131249998,-0.0631498388888895,0.76281535,0.407014758571429,0.233467962025317,0.179971122471909,0.0773843702970295
NA,NA,NA,NA,"prp2","ynr011c","ORF","644320-646950","-","XIV","ynr011c",0.039740793103448,0.0107083818181817,-0.0110388578947368,-0.072014219047619,-0.0555637208333333,-0.0278164074074072,0.0424941903225805,0.116289592857143,0.0567233949367087,0.0349011910112361,-0.00816899900990112
NA,NA,NA,NA,"fui1","ybl042c","ORF","138341-140260","-","II","ybl042c",0.112432393103449,0.0547026606060606,0.0371788289473685,-0.107876371428571,0.0310944395833331,0.223871677777778,0.792609008064517,0.294251498571429,-0.108689379746836,-0.387529420224719,-0.708688479207921
NA,NA,NA,NA,"fas2","ypl231w","ORF","108652-114315","+","XVI","ypl231w",0.761286206896551,0.838461151515144,0.527285605263158,1.24944764285715,-1.32331297916667,-1.69123059259259,-1.7025809516129,-0.492610100000003,-0.981290063291137,-1.35955204494382,-2.10677824752475
NA,NA,NA,NA,"ygl214w","ygl214w","ORF","90010-90495","+","VII","ygl214w",-0.468003089655173,-0.508646878787879,-0.446811736842106,-0.602023383333332,-0.0887233395833335,0.116277216666666,0.422782627419355,0.1622704,-0.0296800430379742,-0.128685950561798,-0.234457237623763
NA,NA,NA,NA,"gpi13","yll031c","ORF","77152-80205","-","XII","yll031c",-0.183715172413793,-0.152725830303031,-0.103367868421053,-0.052812288095238,0.0141307979166672,0.0719986888888889,0.196879906451613,0.0310272328571425,-0.0335851189873416,-0.0970298764044944,-0.173762828712871
"mrpl17",0,0,1,"mrpl17","ynl252c","ORF","171441-172286","-","XIV","ynl252c",0.00935889310344729,-0.013305890909091,-0.0942249710526311,-0.0209335904761907,-0.460261922916666,-0.529326046296296,-0.591343856451613,-0.148583365714286,-0.199917589873418,-0.206887717977528,-0.289849807920792
NA,NA,NA,NA,"apq13","yjl075c","ORF","298460-298876","-","X","yjl075c",-0.319886527586209,-0.424450593939392,-0.417797797368422,-0.781766892857143,-0.0798549250000002,-0.0129289870370365,-0.0904255629032262,-0.0698872699999993,0.360732563291139,0.745321642696628,1.28843142475248
NA,NA,NA,NA,"igo1","ynl157w","ORF","340352-340858","+","XIV","ynl157w",2.53466589655172,3.23534493939394,3.65206405263158,5.3642235,3.86425802083333,3.32309061111111,2.53279538709678,2.03867452857143,0.196073784810126,-1.57420892134831,-3.81575123762376
NA,NA,NA,NA,"tif3","ypr163c","ORF","868645-869955","-","XVI","ypr163c",-0.490973379310339,-1.01609196969698,-0.977394078947363,-2.31082626190476,0.280124604166663,-0.0886314629629594,-1.96932093548387,1.56829742857142,-1.10444294936708,-3.04049969662921,-5.96828747524753
NA,NA,NA,NA,"rmp1","ylr145w","ORF","432168-432773","+","XII","ylr145w",-0.0940013896551725,-0.0882562636363643,-0.0720810394736837,-0.0548425880952383,-0.0246524895833337,-0.0190197092592588,-0.0767828048387098,0.12438695,0.212156026582279,0.306796748314606,0.404496662376238
NA,NA,NA,NA,"rad6","ygl058w","ORF","393986-394504","+","VII","ygl058w",0.919694862068962,0.743034606060608,0.404026736842104,0.45145088095238,-0.906419833333333,-1.01107903703704,-1.0218818,0.989576651428572,0.978195379746836,1.30545898876404,1.46578217821782
NA,NA,NA,NA,"ynl140c","ynl140c","ORF","360917-361486","-","XIV","ynl140c",0.0501730586206898,0.160953212121213,0.253882352631579,0.478000504761904,0.42503466875,0.359235457407407,0.238137753225807,-0.0745580714285714,-0.142397618987342,-0.281305008988764,-0.41754637029703
NA,NA,NA,NA,"pro1","ydr300c","ORF","1061505-1062791","-","IV","ydr300c",0.289811579310346,0.225668654545454,0.190162523684214,0.141861964285712,0.141852008333334,-0.0736366444444453,-0.643369112903224,0.199006119999999,0.0343977417721522,-0.0438855247191016,-0.203088750495049
NA,NA,NA,NA,"hot1","ymr172w","ORF","605981-608140","+","XIII","ymr172w",0.0222398689655169,0.0142030181818188,-0.00266431842105251,-0.00395141666666733,-0.0722881416666665,-0.0273081777777778,0.0892444403225805,0.134525632857143,0.0434464544303799,-0.00378309775280907,-0.0864286613861386
"mec1",0,0,1,"mec1","ybr136w","ORF","505668-512774","+","II","ybr136w",0.0208207448275861,0.0277242560606061,0.0327048131578947,0.049977479047619,0.0351552360416667,0.0273010661111111,0.0199399559677419,0.00447035342857146,-0.000662816455696237,-0.00945002449438201,-0.0173272823762376
NA,NA,NA,NA,"rkm5","ylr137w","ORF","417006-418109","+","XII","ylr137w",-0.255555862068966,-0.234730427272728,-0.161687613157894,-0.21814365,0.147406495833333,0.221509177777778,0.294505787096774,-0.00682238428571428,-0.0843326999999999,-0.184879558426966,-0.286825481188119
NA,NA,NA,NA,"ydr261w-a","ydr261w-a","transposable_element_gene","981462-982778","+","IV","ydr261w-a",-0.0238116251724139,-0.01959048,-0.0122653160526315,-0.00670282500000008,0.0144562195833334,0.0153591312962963,0.00427111516129032,-0.00418723885714283,-0.00698669025316458,-0.0110879121348315,-0.0146132404950495
NA,NA,NA,NA,"yil115w-a","yil115w-a","ORF","144268-144639","+","IX","yil115w-a",-0.311316965517243,-0.315850939393939,-0.280359034210527,-0.363091121428571,-0.0324859437500002,0.0119464851851847,-0.146843537096774,0.0679747857142853,0.602551716455696,1.07083375842697,1.67697182772277
NA,NA,NA,NA,"sec39","ylr440c","ORF","1015568-1017697","-","XII","ylr440c",-0.140267441379311,-0.142246703030303,-0.110526197368421,-0.15692885,0.0522535437500001,0.092558787037037,0.138630491935484,-0.0651913471428571,-0.0992027708860759,-0.138435894382023,-0.159180608910891
NA,NA,NA,NA,"jac1","ygl018c","ORF","459110-459664","-","VII","ygl018c",-0.0769859655172409,-0.0147378515151517,0.0361737184210529,0.168406721428571,0.15084055,0.0414088259259257,-0.254167451612903,-0.231841845714285,-0.073131318987342,0.000757929213483106,0.115768546534654
NA,NA,NA,NA,"ydl129w","ydl129w","ORF","231024-231899","+","IV","ydl129w",0.0547013448275856,0.00488172424242436,-0.0265935105263154,-0.177232223809524,-0.039523766666667,0.0613121314814817,0.225386808064517,0.373268084285714,0.424378708860759,0.525153506741573,0.624378567326733
NA,NA,NA,NA,"mit1","yel007w","ORF","141892-143892","+","V","yel007w",-0.0460564344827587,-0.00462798484848594,0.0329366236842114,0.0983793952380958,0.099736364583333,0.196416211111111,0.469031564516129,0.0505400771428575,0.00850726835442981,-0.0369775235955057,-0.055541735643564
NA,NA,NA,NA,"ntg1","yal015c","ORF","126903-128102","-","I","yal015c",-0.0589083965517247,-0.0453512939393936,-0.0302986815789473,-0.0182690452380954,0.00421029374999993,0.0575081074074073,0.208617508064517,-0.0346911014285714,-0.107521632911393,-0.178954874157303,-0.252948587128713
NA,NA,NA,NA,"big1","yhr101c","ORF","314874-315968","-","VIII","yhr101c",0.113076534482758,0.155402584848485,0.171720355263159,0.327346454761904,0.0777360708333334,0.0765952870370367,0.165367438709678,0.195148747142857,0.0425483392405063,-0.0701254561797749,-0.23338511980198
