"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2"
NA,NA,NA,NA,"ynl018c","ynl018c","ORF","599936-601774","-","XIV","ynl018c",1.15985634028189,-0.697724385329896
NA,NA,NA,NA,"hxt8","yjl214w","ORF","26887-28596","+","X","yjl214w",1.17582876122181,-2.56205700727321
NA,NA,NA,NA,"prm2","yil037c","ORF","283029-284999","-","IX","yil037c",1.19354970365122,-0.757961821472834
NA,NA,NA,NA,"ygr039w","ygr039w","ORF","574888-575199","+","VII","ygr039w",1.20067705727807,-3.72087368108799
NA,NA,NA,NA,"ydr210w-a","ydr210w-a","transposable_element_gene","872112-873428","+","IV","ydr210w-a",1.20110920575166,1.21209244274546
NA,NA,NA,NA,"hek2","ybl032w","ORF","160184-161329","+","II","ybl032w",1.30095687004755,13.3124458916564
NA,NA,NA,NA,"fex1","yor390w","ORF","1076784-1077911","+","XV","yor390w",1.30912247407426,-2.35128068299134
NA,NA,NA,NA,"ygl149w","ygl149w","ORF","225572-225877","+","VII","ygl149w",1.32376704565638,0.0568684579842588
NA,NA,NA,NA,"zip2","ygl249w","ORF","33098-35212","+","VII","ygl249w",1.34647600793761,3.12102278549269
NA,NA,NA,NA,"est2","ylr318w","ORF","766542-769196","+","XII","ylr318w",1.36038667586268,-8.95466581505043
NA,NA,NA,NA,"lot6","ylr011w","ORF","169103-169678","+","XII","ylr011w",1.36041733420118,13.6516922491172
NA,NA,NA,NA,"pdb1","ybr221c","ORF","665153-666253","-","II","ybr221c",1.36671689827804,103.29092814666
NA,NA,NA,NA,"cin4","ymr138w","ORF","545155-545730","+","XIII","ymr138w",1.38185957323241,1.66984226548605
NA,NA,NA,NA,"mph2","ydl247w","ORF","5985-7814","+","IV","ydl247w",1.38558678353737,-1.41723105266871
NA,NA,NA,NA,"spc97","yhr172w","ORF","448335-450806","+","VIII","yhr172w",1.38727149738509,-1.52922661834135
NA,NA,NA,NA,"fig1","ybr040w","ORF","316968-317864","+","II","ybr040w",1.3927888725081,0.27677390915681
NA,NA,NA,NA,"pau11","ygl261c","ORF","6290-6652","-","VII","ygl261c",1.39727592489532,-1.60197028016684
NA,NA,NA,NA,"apc1","ynl172w","ORF","310636-315882","+","XIV","ynl172w",1.42040634247895,-1.58841230773464
"rcy1",0,1,0,"rcy1","yjl204c","ORF","50629-53151","-","X","yjl204c",1.43901044811989,-2.34343185435166
NA,NA,NA,NA,"yjl028w","yjl028w","ORF","391311-391646","+","X","yjl028w",1.44094171591792,0.903549110061869
NA,NA,NA,NA,"ydl242w","ydl242w","ORF","18959-19312","+","IV","ydl242w",1.44744465433314,6.47454142378116
NA,NA,NA,NA,"spo14","ykr031c","ORF","501344-506395","-","XI","ykr031c",1.44925209766664,4.77977123476551
NA,NA,NA,NA,"ymr221c","ymr221c","ORF","713931-715445","-","XIII","ymr221c",1.46703946262847,-11.4998249446268
NA,NA,NA,NA,"snt2","ygl131c","ORF","261648-265859","-","VII","ygl131c",1.49646751286907,-0.789887821911624
NA,NA,NA,NA,"opi6","ydl096c","ORF","286998-287324","-","IV","ydl096c",1.4993414850612,15.3432410711035
NA,NA,NA,NA,"ydr109c","ydr109c","ORF","673520-675667","-","IV","ydr109c",1.53363731072962,2.82363538709143
NA,NA,NA,NA,"ccm1","ygr150c","ORF","790459-793053","-","VII","ygr150c",1.55099165911274,-6.61180429667341
NA,NA,NA,NA,"arg81","yml099c","ORF","74398-77040","-","XIII","yml099c",1.55528643189737,-14.323634621674
NA,NA,NA,NA,"yhr112c","yhr112c","ORF","334527-335663","-","VIII","yhr112c",1.57295769856426,23.9377674207403
NA,NA,NA,NA,"yjr071w","yjr071w","ORF","570405-570773","+","X","yjr071w",1.5770523480009,-171.316000603647
NA,NA,NA,NA,"caf130","ygr134w","ORF","757770-761138","+","VII","ygr134w",1.59842720420001,-0.0994410549009796
NA,NA,NA,NA,"mpe1","ykl059c","ORF","328118-329443","-","XI","ykl059c",1.60054266579764,-4.35387118127982
NA,NA,NA,NA,"yml045w","yml045w","transposable_element_gene","184461-189729","+","XIII","yml045w",1.62446171473622,-0.912262309583204
NA,NA,NA,NA,"yll058w","yll058w","ORF","23569-25296","+","XII","yll058w",1.63120974202351,5.23811096129887
"dnf1",0,1,0,"dnf1","yer166w","ORF","512744-517459","+","V","yer166w",1.66344115469187,8.25212053893783
NA,NA,NA,NA,"pol31","yjr006w","ORF","449202-450665","+","X","yjr006w",1.70558458707963,8.89852650718409
NA,NA,NA,NA,"hot13","ykl084w","ORF","280509-280859","+","XI","ykl084w",1.71959392270384,-10.2088086212828
NA,NA,NA,NA,"smc1","yfl008w","ORF","119429-123106","+","VI","yfl008w",1.722405484269,-2.2137561612971
NA,NA,NA,NA,"fra1","yll029w","ORF","81461-83710","+","XII","yll029w",1.72727933997587,64.4561628580252
NA,NA,NA,NA,"ycl001w-a","ycl001w-a","ORF","113080-113541","+","III","ycl001w-a",1.75779446797994,0.531458758517656
NA,NA,NA,NA,"ykl165c-a","ykl165c-a","ORF","135790-136023","-","XI","ykl165c-a",1.75937017577531,-2.89933182213925
NA,NA,NA,NA,"plp1","ydr183w","ORF","829585-830277","+","IV","ydr183w",1.76780106249999,-10.6900294397761
NA,NA,NA,NA,"ypr014c","ypr014c","ORF","587189-587518","-","XVI","ypr014c",1.77157146250246,-0.944112626927989
NA,NA,NA,NA,"flo9","yal063c","ORF","24000-27968","-","I","yal063c",1.77428640288421,-0.302315670983644
NA,NA,NA,NA,"mdm1","yml104c","ORF","58939-62322","-","XIII","yml104c",1.7919970425646,-2.5354479023394
NA,NA,NA,NA,"yhl005c","yhl005c","ORF","98828-99220","-","VIII","yhl005c",1.8045725884844,-3.37026614651123
NA,NA,NA,NA,"are1","ycr048w","ORF","211929-213761","+","III","ycr048w",1.8056564515693,5.61082360943758
NA,NA,NA,NA,"ymr111c","ymr111c","ORF","492404-493792","-","XIII","ymr111c",1.81868113099994,0.973771000827829
"prs3",0,1,0,"prs3","yhl011c","ORF","80654-81616","-","VIII","yhl011c",1.82407183218204,-84.5348920184891
NA,NA,NA,NA,"ynl033w","ynl033w","ORF","572999-573853","+","XIV","ynl033w",1.83412728923261,-1.04040847730478
NA,NA,NA,NA,"taf6","ygl112c","ORF","298178-299728","-","VII","ygl112c",1.85882383960671,-9.92387594804144
"mrp1",0,0,1,"mrp1","ydr347w","ORF","1169178-1170143","+","IV","ydr347w",1.86392010289239,3.28917240486358
NA,NA,NA,NA,"csf1","ylr087c","ORF","306855-315731","-","XII","ylr087c",1.86464665964474,-0.673541718306406
"mtc4",0,0.666666666666667,0.333333333333333,"mtc4","ybr255w","ORF","724456-726540","+","II","ybr255w",1.87539349764454,9.83958299298157
NA,NA,NA,NA,"cdc15","yar019c","ORF","172211-175135","-","I","yar019c",1.89471674133414,14.1064306938458
NA,NA,NA,NA,"ykl222c","ykl222c","ORF","3503-5620","-","XI","ykl222c",1.91352434251171,3.7670837446329
NA,NA,NA,NA,"glt1","ydl171c","ORF","149203-155640","-","IV","ydl171c",1.92809538984385,-20.9892487280328
NA,NA,NA,NA,"mdr1","ygr100w","ORF","690245-693097","+","VII","ygr100w",1.93969747197084,12.3568657150617
NA,NA,NA,NA,"yjr056c","yjr056c","ORF","541792-542502","-","X","yjr056c",1.95586758349795,-23.0320849564597
NA,NA,NA,NA,"msc2","ydr205w","ORF","859346-861520","+","IV","ydr205w",1.96859685932707,9.16588770789167
NA,NA,NA,NA,"jem1","yjl073w","ORF","303181-305118","+","X","yjl073w",1.97778875235289,-7.0873753837203
NA,NA,NA,NA,"trs130","ymr218c","ORF","703579-706887","-","XIII","ymr218c",1.98779880011793,-1.6327056365173
NA,NA,NA,NA,"kxd1","ygl079w","ORF","359444-360100","+","VII","ygl079w",1.99328067691973,-8.30400276769963
NA,NA,NA,NA,"lro1","ynr008w","ORF","640396-642381","+","XIV","ynr008w",2.00222237721658,13.2267513983579
NA,NA,NA,NA,"cne1","yal058w","ORF","37464-38972","+","I","yal058w",2.01553746430374,-3.65990702782864
NA,NA,NA,NA,"ecm11","ydr446w","ORF","1353725-1354633","+","IV","ydr446w",2.01682097875098,-1.35050816414133
NA,NA,NA,NA,"yll066c","yll066c","ORF","6120-9836","-","XII","yll066c",2.03814726957235,-1.82788678618626
NA,NA,NA,NA,"mdm10","yal010c","ORF","134184-135665","-","I","yal010c",2.03974074927959,-0.699364198529117
"msw1",0,0.333333333333333,0.666666666666667,"msw1","ydr268w","ORF","1004004-1005143","+","IV","ydr268w",2.04448495023399,-3.39738698282947
"ypl150w",0,0,1,"ypl150w","ypl150w","ORF","268188-270893","+","XVI","ypl150w",2.05741932105715,6.54651704481456
NA,NA,NA,NA,"vtc2","yfl004w","ORF","131810-134296","+","VI","yfl004w",2.06844824860068,-2.36879717164318
NA,NA,NA,NA,"ybl100w-b","ybl100w-b","transposable_element_gene","29935-35248","+","II","ybl100w-b",2.08152727657275,-1.21400572451193
NA,NA,NA,NA,"mgr1","ycl044c","ORF","47111-48364","-","III","ycl044c",2.08765289490016,4.24516734958517
"lst7",0,0,1,"lst7","ygr057c","ORF","604773-605501","-","VII","ygr057c",2.09751497562179,-0.712247676378512
NA,NA,NA,NA,"nbp2","ydr162c","ORF","780390-781100","-","IV","ydr162c",2.13906420597513,10.6454734615005
NA,NA,NA,NA,"pff1","ybr074w","ORF","386286-389216","+","II","ybr074w",2.16687956987265,-2.85441836966118
NA,NA,NA,NA,"puf2","ypr042c","ORF","650435-653662","-","XVI","ypr042c",2.1748752014438,5.87472177012605
NA,NA,NA,NA,"snf12","ynr023w","ORF","670418-672118","+","XIV","ynr023w",2.17543381060643,2.80997077171344
NA,NA,NA,NA,"drs2","yal026c","ORF","95630-99697","-","I","yal026c",2.19460952637494,-2.5801988234647
NA,NA,NA,NA,"msh5","ydl154w","ORF","178334-181039","+","IV","ydl154w",2.20929290598041,-2.89783906620065
"vms1",0,0,1,"vms1","ydr049w","ORF","553254-555152","+","IV","ydr049w",2.21492167013476,-8.76416555905132
NA,NA,NA,NA,"ynl171c","ynl171c","ORF","315629-315997","-","XIV","ynl171c",2.21569929593046,-1.43167247808548
NA,NA,NA,NA,"ykr104w","ykr104w","ORF","656836-657756","+","XI","ykr104w",2.23574203835079,-1.03011588430181
NA,NA,NA,NA,"rrt2","ybr246w","ORF","711591-712754","+","II","ybr246w",2.23893656532653,-10.0510957270757
NA,NA,NA,NA,"mtf1","ymr228w","ORF","724626-725651","+","XIII","ymr228w",2.25977133945354,1.60922988652409
"cyt2",0,0,1,"cyt2","ykl087c","ORF","277189-277863","-","XI","ykl087c",2.26472848513492,72.0156204934093
NA,NA,NA,NA,"gat1","yfl021w","ORF","95966-97498","+","VI","yfl021w",2.27034261963803,29.6875302170659
NA,NA,NA,NA,"pau6","ynr076w","ORF","781918-782280","+","XIV","ynr076w",2.28918204126551,-2.52736433012566
NA,NA,NA,NA,"ykl131w","ykl131w","ORF","194478-194999","+","XI","ykl131w",2.29110753824477,0.794598912384933
"nip100",0,0,1,"nip100","ypl174c","ORF","220167-222773","-","XVI","ypl174c",2.30277890830404,-0.707269299356449
NA,NA,NA,NA,"rev1","yor346w","ORF","981828-984785","+","XV","yor346w",2.31352246896316,-10.6066270883785
NA,NA,NA,NA,"aim22","yjl046w","ORF","352386-353615","+","X","yjl046w",2.34579739165536,-4.51361643563017
NA,NA,NA,NA,"spe1","ykl184w","ORF","96757-98157","+","XI","ykl184w",2.34735282671333,-10.8391425365569
NA,NA,NA,NA,"ynr063w","ynr063w","ORF","746943-748766","+","XIV","ynr063w",2.35389453864453,-3.09980407717495
"mak3",0,0,1,"mak3","ypr051w","ORF","664960-665490","+","XVI","ypr051w",2.38976846742928,-16.9247624064506
NA,NA,NA,NA,"rta1","ygr213c","ORF","918512-919465","-","VII","ygr213c",2.39552086960977,2.14462961977216
NA,NA,NA,NA,"vip1","ylr410w","ORF","937541-940981","+","XII","ylr410w",2.39912617682986,-9.87238707951992
NA,NA,NA,NA,"cin8","yel061c","ORF","36535-39537","-","V","yel061c",2.40766105967822,-3.41805810696484
NA,NA,NA,NA,"ynl140c","ynl140c","ORF","360917-361486","-","XIV","ynl140c",2.4325946460675,8.61133366531045
NA,NA,NA,NA,"epo1","ymr124w","ORF","514456-517287","+","XIII","ymr124w",2.43521755946345,23.3279404719593
NA,NA,NA,NA,"fcy22","yer060w-a","ORF","276572-278164","+","V","yer060w-a",2.43851108468365,-1.4471470334527
NA,NA,NA,NA,"rcn1","ykl159c","ORF","153816-154451","-","XI","ykl159c",2.464392156082,8.50574018139298
NA,NA,NA,NA,"tus1","ylr425w","ORF","982894-986817","+","XII","ylr425w",2.47926283788881,-0.115253527609563
NA,NA,NA,NA,"hot1","ymr172w","ORF","605981-608140","+","XIII","ymr172w",2.48864781596282,-1.07096648544329
NA,NA,NA,NA,"sqs1","ynl224c","ORF","224796-227099","-","XIV","ynl224c",2.5306268791245,5.2934194219018
NA,NA,NA,NA,"snu71","ygr013w","ORF","514554-516416","+","VII","ygr013w",2.56876150671078,2.73066646508231
NA,NA,NA,NA,"srl2","ylr082c","ORF","292394-293572","-","XII","ylr082c",2.57191964723348,7.51018403025832
NA,NA,NA,NA,"sen54","ypl083c","ORF","396702-398105","-","XVI","ypl083c",2.57427485219038,1.6789540336781
NA,NA,NA,NA,"mss11","ymr164c","ORF","587274-589550","-","XIII","ymr164c",2.60091036470386,14.5551734436898
NA,NA,NA,NA,"yer068c-a","yer068c-a","ORF","295301-295732","-","V","yer068c-a",2.61604478082021,-4.78022767908516
NA,NA,NA,NA,"ydr102c","ydr102c","ORF","657648-657980","-","IV","ydr102c",2.63839917305348,-1.8823752850751
NA,NA,NA,NA,"hxt11","yol156w","ORF","25273-26976","+","XV","yol156w",2.6393975403706,-0.39160867425841
NA,NA,NA,NA,"cam1","ypl048w","ORF","464401-465648","+","XVI","ypl048w",2.66759115346862,168.776510782103
NA,NA,NA,NA,"ssy1","ydr160w","ORF","776163-778721","+","IV","ydr160w",2.66961008827196,6.81885347024049
NA,NA,NA,NA,"lnp1","yhr192w","ORF","486826-487662","+","VIII","yhr192w",2.69476557360523,-7.72965703329509
"sro77",0,0,1,"sro77","ybl106c","ORF","10847-13879","-","II","ybl106c",2.6958797739546,-1.1779853964373
NA,NA,NA,NA,"alk1","ygl021w","ORF","454785-457067","+","VII","ygl021w",2.71111320400091,0.784784140921962
NA,NA,NA,NA,"stv1","ymr054w","ORF","383303-385975","+","XIII","ymr054w",2.72686369175525,21.0128085706183
NA,NA,NA,NA,"pet122","yer153c","ORF","474041-474805","-","V","yer153c",2.74127439695128,2.01189794134068
NA,NA,NA,NA,"ayt1","yll063c","ORF","14648-16072","-","XII","yll063c",2.74937704074715,-4.77830193897588
NA,NA,NA,NA,"inp2","ymr163c","ORF","584271-586388","-","XIII","ymr163c",2.74960975624617,1.52813091830005
"fig4",0,0,1,"fig4","ynl325c","ORF","28739-31378","-","XIV","ynl325c",2.75090729884038,-0.651940259190844
NA,NA,NA,NA,"ylr296w","ylr296w","ORF","722978-723304","+","XII","ylr296w",2.79167089130247,-5.01782649316667
NA,NA,NA,NA,"rfc3","ynl290w","ORF","86218-87240","+","XIV","ynl290w",2.81623380858764,-13.5780368348772
NA,NA,NA,NA,"cos2","ybr302c","ORF","810340-811479","-","II","ybr302c",2.88344886617709,-2.15942797257596
NA,NA,NA,NA,"yeh2","ylr020c","ORF","181789-183405","-","XII","ylr020c",2.89308972284764,-17.6485006006606
NA,NA,NA,NA,"tfc3","yal001c","ORF","147594-151166","-","I","yal001c",2.89324257621663,8.52905005391117
NA,NA,NA,NA,"aep2","ymr282c","ORF","833356-835098","-","XIII","ymr282c",2.8939350715791,2.02005491028164
NA,NA,NA,NA,"esc1","ymr219w","ORF","707133-712109","+","XIII","ymr219w",2.94341902401664,1.65042869839762
NA,NA,NA,NA,"smk1","ypr054w","ORF","666280-667446","+","XVI","ypr054w",2.96387627906255,14.9141912632665
NA,NA,NA,NA,"yil166c","yil166c","ORF","30938-32566","-","IX","yil166c",2.98414693511341,0.941618546155105
NA,NA,NA,NA,"bni4","ynl233w","ORF","211922-214600","+","XIV","ynl233w",2.99412506490334,-6.38653477075274
NA,NA,NA,NA,"dfg5","ymr238w","ORF","746353-747729","+","XIII","ymr238w",3.00329782020988,7.49551145560929
NA,NA,NA,NA,"kog1","yhr186c","ORF","475999-480672","-","VIII","yhr186c",3.03879957202821,-3.06971373771302
NA,NA,NA,NA,"spc98","ynl126w","ORF","387227-389767","+","XIV","ynl126w",3.04011380517257,-6.69031481195622
NA,NA,NA,NA,"yhr078w","yhr078w","ORF","256360-258018","+","VIII","yhr078w",3.04947147215538,13.9004709956376
NA,NA,NA,NA,"gup2","ypl189w","ORF","189154-190983","+","XVI","ypl189w",3.05165185430945,-3.59211289089024
NA,NA,NA,NA,"ydr431w","ydr431w","ORF","1328390-1328701","+","IV","ydr431w",3.07280475932329,2.05585248295322
NA,NA,NA,NA,"scc4","yer147c","ORF","462968-464842","-","V","yer147c",3.07335264048669,-3.11584005164083
NA,NA,NA,NA,"ccc2","ydr270w","ORF","1005675-1008689","+","IV","ydr270w",3.08939181717741,8.81851321773858
NA,NA,NA,NA,"cog5","ynl051w","ORF","532659-533870","+","XIV","ynl051w",3.0901516724461,5.05719709051785
NA,NA,NA,NA,"ybr134w","ybr134w","ORF","504243-504644","+","II","ybr134w",3.09556214133491,1.13862646795947
NA,NA,NA,NA,"pmt5","ydl093w","ORF","289909-292140","+","IV","ydl093w",3.0983506877652,-0.252765300863481
NA,NA,NA,NA,"yol160w","yol160w","ORF","14313-14654","+","XV","yol160w",3.11444436892947,-2.35673608106352
NA,NA,NA,NA,"rsc2","ylr357w","ORF","841331-844000","+","XII","ylr357w",3.13980819625733,-3.85441902439784
NA,NA,NA,NA,"swc7","ylr385c","ORF","892992-893390","-","XII","ylr385c",3.14549774611444,-9.11775374222581
NA,NA,NA,NA,"avt5","ybl089w","ORF","49574-50953","+","II","ybl089w",3.15481931173759,-0.232472573577435
NA,NA,NA,NA,"dyn3","ymr299c","ORF","864412-865350","-","XIII","ymr299c",3.15637000853428,3.00721769342256
NA,NA,NA,NA,"esp1","ygr098c","ORF","682566-687458","-","VII","ygr098c",3.16329610155874,-1.26040547344849
NA,NA,NA,NA,"cab4","ygr277c","ORF","1045644-1046561","-","VII","ygr277c",3.17617575787799,2.25320841143192
NA,NA,NA,NA,"yjl150w","yjl150w","ORF","137123-137425","+","X","yjl150w",3.17922869857889,-5.04941079625437
NA,NA,NA,NA,"ioc4","ymr044w","ORF","355384-356811","+","XIII","ymr044w",3.18998546779453,1.88036328058586
NA,NA,NA,NA,"rpb4","yjl140w","ORF","150961-151626","+","X","yjl140w",3.20564402561253,51.7951609522441
NA,NA,NA,NA,"rad30","ydr419w","ORF","1303174-1305072","+","IV","ydr419w",3.21817326491907,-3.15884696514983
NA,NA,NA,NA,"nft1","ykr103w","ORF","653080-656736","+","XI","ykr103w",3.23311701125127,-5.67346820741289
NA,NA,NA,NA,"yil029w-a","yil029w-a","ORF","299735-300106","+","IX","yil029w-a",3.23594680647323,0.899616187714704
NA,NA,NA,NA,"msg5","ynl053w","ORF","529942-531411","+","XIV","ynl053w",3.2437510601372,-24.9372714716812
NA,NA,NA,NA,"rvb2","ypl235w","ORF","103232-104647","+","XVI","ypl235w",3.26049622220933,-36.2352604533182
NA,NA,NA,NA,"hof1","ymr032w","ORF","335298-337307","+","XIII","ymr032w",3.27595648828545,0.600316656098281
NA,NA,NA,NA,"spo13","yhr014w","ORF","132047-132922","+","VIII","yhr014w",3.29438811697538,-3.72258479627274
NA,NA,NA,NA,"pdc2","ydr081c","ORF","607304-610081","-","IV","ydr081c",3.29846981809818,-7.91315601248931
"srs2",1,0,0,"srs2","yjl092w","ORF","257423-260947","+","X","yjl092w",3.31869320523019,0.114017643894269
NA,NA,NA,NA,"scs3","ygl126w","ORF","270997-272139","+","VII","ygl126w",3.3195507513125,14.1322888086687
NA,NA,NA,NA,"prp18","ygr006w","ORF","506070-506825","+","VII","ygr006w",3.37512598965744,-5.30537369773226
NA,NA,NA,NA,"isr1","ypr106w","ORF","740061-741392","+","XVI","ypr106w",3.39284657713018,7.4777726572575
NA,NA,NA,NA,"gde1","ypl110c","ORF","341068-344739","-","XVI","ypl110c",3.39761744884121,-2.13330023048407
"pch2",0,1,0,"pch2","ybr186w","ORF","600553-602360","+","II","ybr186w",3.41464190449186,-4.74925209751533
NA,NA,NA,NA,"rdr1","yor380w","ORF","1051290-1052930","+","XV","yor380w",3.42316868717723,6.29833012207926
NA,NA,NA,NA,"eco1","yfr027w","ORF","207452-208297","+","VI","yfr027w",3.45462920074076,1.3746668155081
NA,NA,NA,NA,"rif2","ylr453c","ORF","1041799-1042986","-","XII","ylr453c",3.47825812585903,-3.18215964895943
NA,NA,NA,NA,"vhc1","ybr235w","ORF","686901-690263","+","II","ybr235w",3.49549696527077,2.73010441800276
NA,NA,NA,NA,"ynl028w","ynl028w","ORF","578679-578996","+","XIV","ynl028w",3.5020499779546,-6.75039969197615
NA,NA,NA,NA,"yil092w","yil092w","ORF","189066-190967","+","IX","yil092w",3.5046409089807,-6.48879273203767
NA,NA,NA,NA,"nsp1","yjl041w","ORF","365784-368373","+","X","yjl041w",3.51719996519601,-1.79009056326939
NA,NA,NA,NA,"yil030w-a","yil030w-a","ORF","295565-295903","+","IX","yil030w-a",3.52176570847568,9.14094177774372
"vba5",0,1,0,"vba5","ykr105c","ORF","658716-660464","-","XI","ykr105c",3.5295067058256,-4.20706669382376
NA,NA,NA,NA,"bud3","ycl014w","ORF","96281-101191","+","III","ycl014w",3.5317388198129,-3.34281182682362
NA,NA,NA,NA,"ura2","yjl130c","ORF","165723-172367","-","X","yjl130c",3.55757454193417,-52.3773255581196
"swc5",0,0,1,"swc5","ybr231c","ORF","682179-683090","-","II","ybr231c",3.56510440595263,5.43241869525661
NA,NA,NA,NA,"pmt3","yor321w","ORF","916030-918291","+","XV","yor321w",3.56916683079755,0.164478939763399
NA,NA,NA,NA,"hxt10","yfl011w","ORF","112345-113985","+","VI","yfl011w",3.58126415482048,-2.60014788045497
NA,NA,NA,NA,"aro80","ydr421w","ORF","1312040-1314892","+","IV","ydr421w",3.58602763712618,4.65449710314458
NA,NA,NA,NA,"dcr2","ylr361c","ORF","847388-849124","-","XII","ylr361c",3.61106723812622,-0.012319659326301
NA,NA,NA,NA,"ate1","ygl017w","ORF","459854-461365","+","VII","ygl017w",3.61721532375996,-4.5736834626959
NA,NA,NA,NA,"prp6","ybr055c","ORF","344602-347301","-","II","ybr055c",3.62397920216798,-15.5877802705432
NA,NA,NA,NA,"lam1","yhr155w","ORF","407103-410789","+","VIII","yhr155w",3.63170345525836,3.28663278220282
NA,NA,NA,NA,"bud16","yel029c","ORF","96858-97796","-","V","yel029c",3.64248053769815,-19.6360179862103
NA,NA,NA,NA,"kar9","ypl269w","ORF","33013-34947","+","XVI","ypl269w",3.67973369718926,-2.59160519051055
NA,NA,NA,NA,"mcm2","ybl023c","ORF","174920-177526","-","II","ybl023c",3.68557772250086,-7.23131612492041
NA,NA,NA,NA,"sec7","ydr170c","ORF","796193-802222","-","IV","ydr170c",3.72259205163916,-1.76673245361065
NA,NA,NA,NA,"sor1","yjr159w","ORF","736044-737117","+","X","yjr159w",3.7269311287394,-3.63926569193577
NA,NA,NA,NA,"cdc5","ymr001c","ORF","269019-271136","-","XIII","ymr001c",3.72948919223051,-0.112273759639799
NA,NA,NA,NA,"yhl042w","yhl042w","ORF","15667-16119","+","VIII","yhl042w",3.76016613773249,-3.76776844875765
NA,NA,NA,NA,"spt20","yol148c","ORF","45760-47574","-","XV","yol148c",3.76393003465859,-3.39112514852246
NA,NA,NA,NA,"sor2","ydl246c","ORF","8683-9756","-","IV","ydl246c",3.80926089302905,-2.56204606555266
NA,NA,NA,NA,"trk1","yjl129c","ORF","173599-177306","-","X","yjl129c",3.82382418658184,-15.0044717209088
NA,NA,NA,NA,"skp2","ynl311c","ORF","49397-51688","-","XIV","ynl311c",3.83664118102323,-12.5015404560655
NA,NA,NA,NA,"pau9","ybl108c-a","ORF","7605-7733","-","II","ybl108c-a",3.85105048840925,-4.47795930434111
NA,NA,NA,NA,"ynl034w","ynl034w","ORF","570477-572315","+","XIV","ynl034w",3.85168298328717,-4.54521701230473
NA,NA,NA,NA,"fre3","yor381w","ORF","1055545-1057680","+","XV","yor381w",3.86352819421347,-4.3872804792196
NA,NA,NA,NA,"yer189w","yer189w","ORF","571155-571523","+","V","yer189w",3.86687603101635,-2.28316992924138
NA,NA,NA,NA,"gal2","ylr081w","ORF","290212-291936","+","XII","ylr081w",3.89048525808597,-1.40836313602282
"mad2",0,1,0,"mad2","yjl030w","ORF","387657-388247","+","X","yjl030w",3.91888457793334,4.33825852743811
NA,NA,NA,NA,"dnf3","ymr162c","ORF","578951-583921","-","XIII","ymr162c",3.95202299830648,-0.545580885752766
NA,NA,NA,NA,"bnr1","yil159w","ORF","41825-45952","+","IX","yil159w",4.01512925180222,-4.79079674118167
NA,NA,NA,NA,"yjl086c","yjl086c","ORF","272478-272846","-","X","yjl086c",4.01636188257484,-5.35356956088808
NA,NA,NA,NA,"spc3","ylr066w","ORF","267169-267723","+","XII","ylr066w",4.01799460067222,-3.87468112983864
NA,NA,NA,NA,"sld2","ykl108w","ORF","234426-235787","+","XI","ykl108w",4.02973121712495,2.63028574235848
NA,NA,NA,NA,"drn1","ygr093w","ORF","670388-671911","+","VII","ygr093w",4.03029826374041,-14.9017151671867
NA,NA,NA,NA,"spo23","ybr250w","ORF","719033-720604","+","II","ybr250w",4.04398365126229,-5.40206489809964
NA,NA,NA,NA,"tpo5","ykl174c","ORF","120380-122236","-","XI","ykl174c",4.05997162302072,-11.4819423140641
NA,NA,NA,NA,"msh1","yhr120w","ORF","349574-352453","+","VIII","yhr120w",4.06263762968,-9.91591777230766
NA,NA,NA,NA,"ydl180w","ydl180w","ORF","135896-137539","+","IV","ydl180w",4.07832383086092,3.59848192286675
"mns1",0,1,0,"mns1","yjr131w","ORF","667644-669293","+","X","yjr131w",4.07850060132623,-2.2288260186096
NA,NA,NA,NA,"lsm8","yjr022w","ORF","469784-470113","+","X","yjr022w",4.1096716524009,-6.00109706509033
NA,NA,NA,NA,"dur1,2","ybr208c","ORF","636703-642210","-","II","ybr208c",4.13153129434107,-0.0203617932643931
NA,NA,NA,NA,"vps61","ydr136c","ORF","727711-728283","-","IV","ydr136c",4.13405311666034,-5.11267745826657
NA,NA,NA,NA,"pdr3","ybl005w","ORF","217470-220400","+","II","ybl005w",4.14449794101018,-2.74884585329785
NA,NA,NA,NA,"lrs4","ydr439w","ORF","1339676-1340719","+","IV","ydr439w",4.15820081380928,-2.79184476682649
NA,NA,NA,NA,"hop1","yil072w","ORF","226602-228419","+","IX","yil072w",4.16411766059401,2.14399349185061
NA,NA,NA,NA,"spo75","yll005c","ORF","137940-140546","-","XII","yll005c",4.16747806134829,1.76482655057225
NA,NA,NA,NA,"rad5","ylr032w","ORF","204991-208500","+","XII","ylr032w",4.17448800151859,-7.20884601543367
NA,NA,NA,NA,"gal1","ybr020w","ORF","279021-280607","+","II","ybr020w",4.20964569475582,0.369259944552164
NA,NA,NA,NA,"top2","ynl088w","ORF","457704-461990","+","XIV","ynl088w",4.21851310414138,-1.80273627811335
NA,NA,NA,NA,"afi1","yor129c","ORF","566877-569558","-","XV","yor129c",4.2513308959982,-6.0457178194238
NA,NA,NA,NA,"ybr220c","ybr220c","ORF","662995-664677","-","II","ybr220c",4.26055858493304,6.04071300217256
NA,NA,NA,NA,"skg1","ykr100c","ORF","638901-639968","-","XI","ykr100c",4.27244286859313,7.57778918709472
